Province,Organization,CC&M,Education,FSA,Health,Livelihoods,Nutrition,Protection,SS&R,WASH,Telecomms,Other,Shape_Length,Shape_Area,admin0Name_en,admin1Pcode,Shape *,OBJECTID *
Province 1,Mercy Corps,,,,,x,,,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Girls Kick ,,x,,,,,x,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Restless Development Nepal ,,,,x,,,,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Humanity & Inclusion,,X,,x,,,,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,TPO Nepal ,,,,x,,,x,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Actionaid,,,X,,X,,x,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Youth Innovation Lab,,X,,,X,,,,,X,X,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Disaster Preparedness Network Nepal,,,,,,,,,,,X,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Yuwalaya,,,,,,,X,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Plan International Nepal ,,,,X,,X,X,,X,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Nepal Red Cross Society,X,,,,,,,X,X,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Blind Youth Association Nepal,,X,,X,X,,,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,The Lutheran World Federation Nepal,X,,X,X,X,X,X,,X,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,YUWA,,,,,,,,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,World Vision International Nepal,X,,,X,X,,X,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,World Vision International Nepal,,X,X,X,X,X,X,X,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,VSO Nepal,,,,,,,,,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 1,Association of Youth Organizations Nepal (AYON),X,,,X,,,,X,,,,10.601313,2.374124,Nepal,NP01,Polygon,1
Province 2,Girls Kick ,,X,,,,,X,,,,,9.019574,0.871547,Nepal,NP02,Polygon,2
